code,display_name_en
ACETAMINOPHEN_500,Acetaminophen
ACYCLOVIR_200_MG_COMPRIME_ORAL,Acyclovir
ACYCLOVIR_400_MG_COMPRIME_ORAL,Acyclovir
ACYCLOVIR_5_CREME_TOPICAL,Acyclovir
ADRENALINE_1_MG_PER_ML_INJECTABLE_INJECTION,Epinephrine
ALBENDAZOLE_200_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Albendazole
ALBENDAZOLE_400,Albendazole
AMLODIPINE_10_MG_COMPRIME_ORAL,Amlodipine
AMLODIPINE_5_MG_COMPRIME_ORAL,Amlodipine
AMOXICILLIN_125_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Amoxicillin
AMOXICILLIN_250_MG_CAPSULE_ORAL,Amoxicillin
AMOXICILLIN_250_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Amoxicillin
AMOXICILLIN_500,Amoxicillin
AMOXICILLIN_500_MG_COMPRIME_DISPERSIBLE_ORAL,Amoxicillin
AMOXICILLIN_CLAVULANIC_ACID_400_PER_57_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Amoxicillin + Clavulanic Acid
AMOXICILLIN_CLAVULANIC_ACID_500_PER_125_MG_COMPRIME_ORAL,Amoxicillin + Clavulanic Acid
AMOXICILLIN_CLAVULANIC_ACID_875_PER_125_MG_COMPRIME_ORAL,Amoxicillin + Clavulanic Acid
AMPICILLIN_1_G_INJECTABLE_INJECTION,Ampicillin
AMPICILLIN_500_MG_CAPSULE_ORAL,Ampicillin
ANTACID_MIX_SUSPENSION_SUSPENSION_BUVABLE_ORAL,Antacid mix
ARTEMETHER_LUMEFANTRINE_20_PER_120_MG_COMPRIME_ORAL,Artemether Lumefantrine
ARTESUNATE_60_MG_INJECTABLE_INJECTION,Artesunate
ARTESUNATE_AMODIAQUINE_100_PER_270_MG_COMPRIME_ORAL,Artesunate + Amodiaquine
ASPIRIN_100_MG_COMPRIME_ORAL,Aspirin
ASPIRIN_325_MG_COMPRIME_ORAL,Aspirin
ASPIRIN_81,Aspirin
ATENOLOL_100_MG_COMPRIME_ORAL,Atenolol
ATENOLOL_50_MG_COMPRIME_ORAL,Atenolol
AZITHROMYCIN_200_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Azithromycin
AZITHROMYCIN_250,Azithromycin
AZITHROMYCIN_500_MG_COMPRIME_ORAL,Azithromycin
BECLOMETASONE_100_MCG_PER_DOSE_INHALATEUR_INHALATION,Beclometasone
BENZATHINE_PENICILLIN_G_1.2_M_UI_INJECTABLE_INTRAMUSCULAR,Benzathine Penicillin G
BENZATHINE_PENICILLIN_G_2.4_M_UI_INJECTABLE_INTRAMUSCULAR,Benzathine Penicillin G
BENZYL_BENZOATE_25_LOTION_TOPICAL,Benzyl Benzoate
BETAMETHASONE_0.1_CREME_TOPICAL,Betamethasone
BUDESONIDE_200_MCG_PER_DOSE_AROSOL_INHALATION,Budesonide
BUDESONIDE_200_MCG_PER_DOSE_INHALATEUR_INHALATION,Budesonide
CALCIUM_GLUCONATE_10_INJECTABLE_INTRAVENOUS,Calcium Gluconate
CARVEDILOL_12.5_MG_COMPRIME_ORAL,Carvedilol
CARVEDILOL_6.25_MG_COMPRIME_ORAL,Carvedilol
CEFIXIME_100_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Cefixime
CEFIXIME_400_MG_COMPRIME_ORAL,Cefixime
CEFTAZIDIME_1_G_INJECTABLE_INJECTION,Ceftazidime
CEFTRIAXONE_1_G_INJECTABLE_INJECTION,Ceftriaxone
CEFTRIAXONE_2_G_INJECTABLE_INJECTION,Ceftriaxone
CEFUROXIME_500_MG_COMPRIME_ORAL,Cefuroxime
CELECOXIB_200_MG_CAPSULE_ORAL,Celecoxib
CEPHALEXIN_250_MG_PER_5_ML_SUSPENSION_BUVABLE_ORAL,Cephalexin
CEPHALEXIN_500_MG_CAPSULE_ORAL,Cephalexin
CETIRIZINE_1_MG_PER_ML_SIROP_ORAL,Cetirizine
CETIRIZINE_10_MG_COMPRIME_ORAL,Cetirizine
