code,display_name_en
ACETAMINOPHEN_500,Acetaminophen
IBUPROFEN_200,Ibuprofen
ASPIRIN_81,Aspirin
PREDNISONE_5,Prednisone
AMOXICILLIN_500,Amoxicillin
AZITHROMYCIN_250,Azithromycin
ALBENDAZOLE_400,Albendazole
CHLOROQUINE_250,Chloroquine
LOSARTAN_50,Losartan
LISINOPRIL_10,Lisinopril
HYDROCHLOROTHIAZIDE_25,Hydrochlorothiazide
METFORMIN_500,Metformin
OMEPRAZOLE_20,Omeprazole
ORAL_REHYDRATION,Oral rehydration salts
CIPROFLOXACIN_500,Ciprofloxacin
KETOROLAC_30MG_IM,Ketorolac
NALOXONE_0.4MG_ML,Naloxone
DIPHENHYDRAMINE_50MG_ML,Diphenhydramine
FAMOTIDINE_20MG_IV,Famotidine
METHYLPREDNISOLONE_125MG,Methylprednisolone
