catalogCode,displayNameEn,displayNameFr,modality,bodyRegion,contrastType,viewCount,laterality,anatomicSubregion,protocol,wave,status,billingStatus,aliasRequired,retirementImpact,successorImpact,implementationBatch
XR_ABDOMEN_1V,Abdomen X-ray 1 view,Radiographie abdomen 1 incidence,MODALITY_XR,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_UNSPECIFIED,,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_ABDOMEN_2V,Abdomen X-ray 2 views,Radiographie abdomen 2 incidences,MODALITY_XR,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_UNSPECIFIED,,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_ABDOMEN_3V_ACUTE,Abdomen X-ray 3 views acute series,Radiographie abdomen série aiguë 3 inc.,MODALITY_XR,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_UNSPECIFIED,,PROTOCOL_XR_ABDOMEN_ACUTE_SERIES,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_RIBS_LEFT_WITH_CXR,Left ribs with chest X-ray,Côtes gauches avec thorax,MODALITY_XR,BODY_REGION_CHEST,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_LEFT,ANATOMIC_SUBREGION_RIBS,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_RIBS_RIGHT_WITH_CXR,Right ribs with chest X-ray,Côtes droites avec thorax,MODALITY_XR,BODY_REGION_CHEST,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_RIGHT,ANATOMIC_SUBREGION_RIBS,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_CSPINE_1V_LATERAL,C-spine X-ray 1 view lateral,Rachis cervical 1 inc. latérale,MODALITY_XR,BODY_REGION_SPINE_CERVICAL,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_CERVICAL,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_CSPINE_2_3V,C-spine X-ray 2–3 views,Rachis cervical 2–3 incidences,MODALITY_XR,BODY_REGION_SPINE_CERVICAL,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_CERVICAL,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_CSPINE_3V_UPRIGHT,C-spine X-ray 3 views upright,Rachis cervical 3 inc. debout,MODALITY_XR,BODY_REGION_SPINE_CERVICAL,CONTRAST_TYPE_NONE,VIEW_COUNT_THREE,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_CERVICAL,PROTOCOL_XR_CSPINE_UPRIGHT,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_CSPINE_COMPLETE,C-spine X-ray complete,Rachis cervical série complète,MODALITY_XR,BODY_REGION_SPINE_CERVICAL,CONTRAST_TYPE_NONE,VIEW_COUNT_COMPLETE,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_CERVICAL,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
XR_LSPINE_2V,Lumbar spine X-ray 2 views,Rachis lombaire 2 incidences,MODALITY_XR,BODY_REGION_SPINE,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_LUMBAR,,1,WORKBOOK_DRAFT,PENDING_CPT_REVIEW,OPTIONAL,NONE,NONE,XR-1
