workbook_version,code,displayNameEn,displayNameFr,isActive,modality_classifier,body_region_classifier,contrast_classifier,view_count_classifier,laterality_classifier,anatomic_subregion_classifier,protocol_classifier,mapping_status,mr_status,mr_reconciliation,backfill_disposition,mr_legacy_population
W1.1,XR_CHEST,Chest X-ray,Radiographie thorax,true,MODALITY_XR,BODY_REGION_CHEST,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_UNSPECIFIED,,,NATIVE,NO,RESOLVED,READY_APPLY_FK,NO
W1.1,XR_KNEE,Knee X-ray,Radiographie genou,true,MODALITY_XR,BODY_REGION_KNEE,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,NATIVE,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,XR_FOOT,Foot X-ray,Radiographie pied,true,MODALITY_XR,BODY_REGION_FOOT,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,NATIVE,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_ABD,Ultrasound abdomen,Échographie abdominale,true,MODALITY_US,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,PARTIAL,NO,RESOLVED,PREDECESSOR_APPLY_NON_CONTRAST,YES
W1.1,US_OB,Obstetric ultrasound,Échographie obstétricale,true,MODALITY_US,BODY_REGION_OBSTETRICAL,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,PARTIAL,NO,RESOLVED,READY_APPLY_FK,YES
W1.1,US_RENAL,Renal ultrasound,Échographie rénale,true,MODALITY_US,BODY_REGION_KIDNEY,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,FULL,NO,RESOLVED,READY_APPLY_FK,YES
W1.1,CT_HEAD,CT head,Scanner cérébral,false,MODALITY_CT,BODY_REGION_HEAD,,,LATERALITY_UNSPECIFIED,,,PARTIAL,NO,INTENTIONAL_NULL,RETIRED_INACTIVE,YES
W1.1,CT_ABD,CT abdomen and pelvis,Scanner abdomen/pelvis,true,MODALITY_CT,BODY_REGION_ABDOMEN,,,LATERALITY_UNSPECIFIED,,,PARTIAL,NO,INTENTIONAL_NULL,INTENTIONAL_NULL_CONTRAST,YES
W1.1,DOPPLER_VEIN,Lower extremity venous ultrasound (DVT),Doppler veineux membres inférieurs,true,MODALITY_US,BODY_REGION_VASCULAR,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,PROTOCOL_US_DOPPLER_VENOUS,PARTIAL,NO,RESOLVED,PREDECESSOR_APPLY_NON_CONTRAST,YES
W1.1,XR_CHEST_2V,Chest X-ray (2 views),Radiographie thorax (2 incidences),true,MODALITY_XR,BODY_REGION_CHEST,CONTRAST_TYPE_NONE,VIEW_COUNT_TWO,LATERALITY_UNSPECIFIED,,,NATIVE,NO,RESOLVED,READY_APPLY_FK,NO
W1.1,XR_ABD_AP,Abdominal X-ray (KUB),Radiographie abdomen (ASP),true,MODALITY_XR,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,VIEW_COUNT_ONE,LATERALITY_UNSPECIFIED,,,FULL,NO,RESOLVED,READY_APPLY_FK,NO
W1.1,XR_WRIST,Wrist X-ray,Radiographie poignet,true,MODALITY_XR,BODY_REGION_WRIST,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,NATIVE,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,XR_ANKLE,Ankle X-ray,Radiographie cheville,true,MODALITY_XR,BODY_REGION_ANKLE,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,NATIVE,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,XR_SHOULDER,Shoulder X-ray,Radiographie épaule,true,MODALITY_XR,BODY_REGION_SHOULDER,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,NATIVE,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,XR_PELVIS,Pelvis X-ray,Radiographie bassin,true,MODALITY_XR,BODY_REGION_PELVIS,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,NATIVE,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_OB_FIRST,Obstetric ultrasound — first trimester,Échographie obstétricale — premier trimestre,true,MODALITY_US,BODY_REGION_OBSTETRICAL,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,PROTOCOL_US_OB_FIRST_TRIMESTER,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_OB_GROWTH,Obstetric ultrasound — growth / Doppler,Échographie obstétricale — croissance / Doppler,true,MODALITY_US,BODY_REGION_OBSTETRICAL,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,PROTOCOL_US_OB_LATE_TRIMESTER,PARTIAL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_SOFT,Soft tissue ultrasound,Échographie des parties molles,true,MODALITY_US,BODY_REGION_SOFT_TISSUE,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,CT_CHEST,CT chest,Scanner thoracique,true,MODALITY_CT,BODY_REGION_CHEST,CONTRAST_TYPE_WITHOUT,,LATERALITY_UNSPECIFIED,,,FULL,NO,RESOLVED,READY_APPLY_FK,YES
W1.1,CT_CHEST_CTA,CTA chest,Angioscanner thoracique (CTA thorax),true,MODALITY_CTA,BODY_REGION_CHEST,CONTRAST_TYPE_ANGIOGRAPHIC,,LATERALITY_UNSPECIFIED,,PROTOCOL_CTA_CHEST_STANDARD,PARTIAL,NO,RESOLVED,PREDECESSOR_APPLY_NON_CONTRAST,YES
W1.1,CT_SPINE_LUMBAR,CT lumbar spine,Scanner rachis lombaire,true,MODALITY_CT,BODY_REGION_SPINE,CONTRAST_TYPE_WITHOUT,,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_LUMBAR,,FULL,NO,RESOLVED,READY_APPLY_FK,YES
W1.1,US_FAST,FAST exam,Échographie FAST (trauma),true,MODALITY_US,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,PROTOCOL_US_FAST,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,XR_ABDOMEN,Abdominal X-ray,Radiographie abdomen,true,MODALITY_XR,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,PARTIAL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,CT_CERVICAL_SPINE,CT cervical spine,Scanner rachis cervical,true,MODALITY_CT,BODY_REGION_SPINE_CERVICAL,CONTRAST_TYPE_WITHOUT,,LATERALITY_UNSPECIFIED,ANATOMIC_SUBREGION_SPINE_CERVICAL,,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,CT_ABDOMEN_PELVIS,CT abdomen/pelvis,Scanner abdomen/pelvis,true,MODALITY_CT,BODY_REGION_ABDOMEN_PELVIS,CONTRAST_TYPE_WITHOUT,,LATERALITY_UNSPECIFIED,,,PARTIAL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,CT_CHEST_ABDOMEN_PELVIS_TRAUMA,CT chest/abdomen/pelvis trauma protocol,TDM thorax/abdomen/bassin protocole trauma,true,MODALITY_CT,BODY_REGION_CHEST_ABDOMEN_PELVIS,,,LATERALITY_UNSPECIFIED,,PROTOCOL_CT_CAP_TRAUMA,PARTIAL,NO,INTENTIONAL_NULL,INTENTIONAL_NULL_CONTRAST,YES
W1.1,CT_HEAD_WO_CONTRAST,CT head without contrast,TDM tête sans contraste,true,MODALITY_CT,BODY_REGION_HEAD,CONTRAST_TYPE_WITHOUT,,LATERALITY_UNSPECIFIED,,,FULL,NO,RESOLVED,READY_APPLY_FK,YES
W1.1,CTA_CHEST,CTA chest,Angioscanner thoracique,true,MODALITY_CTA,BODY_REGION_CHEST,CONTRAST_TYPE_ANGIOGRAPHIC,,LATERALITY_UNSPECIFIED,,PROTOCOL_CTA_CHEST_STANDARD,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,CTA_HEAD_NECK,CTA head/neck,Angioscanner tête et cou,true,MODALITY_CTA,BODY_REGION_HEAD_NECK,CONTRAST_TYPE_ANGIOGRAPHIC,,LATERALITY_UNSPECIFIED,,,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,CTA_ABDOMEN_PELVIS,CTA abdomen/pelvis,Angioscanner abdomen/pelvis,true,MODALITY_CTA,BODY_REGION_ABDOMEN_PELVIS,CONTRAST_TYPE_ANGIOGRAPHIC,,LATERALITY_UNSPECIFIED,,,PARTIAL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_ABDOMEN,Ultrasound abdomen,Échographie abdominale,true,MODALITY_US,BODY_REGION_ABDOMEN,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,FULL,NO,RESOLVED,READY_APPLY_FK,YES
W1.1,US_RUQ_GALLBLADDER,Ultrasound RUQ / gallbladder,Échographie quadrant supérieur droit / vésicule biliaire,true,MODALITY_US,BODY_REGION_ABDOMEN_RUQ,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_PELVIS,Pelvic ultrasound,Échographie pelvienne,true,MODALITY_US,BODY_REGION_PELVIS,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_SCROTUM_TESTICULAR,Ultrasound scrotum/testicular,Échographie scrotale / testiculaire,true,MODALITY_US,BODY_REGION_SCROTUM,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,,FULL,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
W1.1,US_VENOUS_DOPPLER_LE,Lower extremity venous Doppler,Doppler veineux membres inférieurs,true,MODALITY_US,BODY_REGION_LOWER_EXTREMITY,CONTRAST_TYPE_NONE,,LATERALITY_UNSPECIFIED,,PROTOCOL_US_DOPPLER_VENOUS,FULL,NO,RESOLVED,READY_APPLY_FK,YES
W1.1,XR_HUMERUS,Humerus X-ray,Radiographie humérus,true,MODALITY_XR,BODY_REGION_ARM,CONTRAST_TYPE_NONE,VIEW_COUNT_UNSPECIFIED,LATERALITY_UNSPECIFIED,,,NATIVE,NO,REQUIRES_FUTURE_2E_REVIEW,READY_APPLY_FK,YES
